Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C17, C18, C2, C25, C26, C30, C31, C32, C33, C36, C38, C39, C45, C46, C47, C48, C49, C50, C51, C52, C53, C9",0402,25,100n,C307331
"C12, C14, C19, C23, C5, C7",0603,6,150p,C1594
"C13, C20, C8",0603,3,330p,C1664
"C15, C22, C6",0603,3,220p,C1603
"C16, C21, C3",0603,3,1n0,C1588
"C24, C27, C37, C54",0603,4,100n,C14663
"C28, C29",0603,2,33p,C1663
"C34, C41, C43",CP_EIA-3216-18_Kemet-A,3,10u,C7171
"C35, C40",0603,2,2u2,C23630
C4,0805,1,47p,C14857
"C42, C44",CP_EIA-3528-21_Kemet-B,2,33u,C128342
D1,0603,1,LED-RED,C94869
D2,0603,1,LED-G,C125093
D3,0603,1,LED-Y,C72038
FB1,0603,1,120Ω@100MHz ,C127301
J1,RJ45_Amphenol_RJHSE5380,1,RJ45,C464586
"J10, J11, J13, J3, J7, J9",BNC_Amphenol_B6252HB-NPP3G-50_Horizontal-CJ,6,KH-BNC50-3511,C2837587
J12,JST_PH_S6B-PH-SM4-TB_1x06-1MP_P2.00mm_Horizontal,1,Conn_01x06,C265405
J14,BarrelJack_Horizontal,1,DC-063-25A,C707269
J4,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle,C165948
J8,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,Conn_01x02,C295747
"L1, L2, L3, L4, L5, L6",0805,6,1uH,C1042
"Q1, Q10, Q9",SOT-23,3,2N7002,C8545
Q2,SOT-23,1,S8550,C105432
Q3,SOT-23,1,S8050,C2150
"R1, R15, R16, R29, R30, R31, R46, R47",0603,8,100R,C22775
"R10, R2, R6",0603,3,510R,C23193
"R11, R3, R7",0603,3,49R9,C23185
"R12, R13",0805,2,1K5,C4310
R14,0805,1,330R,C17630
R17,0805,1,20R,C17544
"R18, R21, R45",0603,3,130K,C22795
"R19, R20, R22, R24, R41, R42, R43, R44, R5, R54, R60, R61, R62, R63, R64",0603,15,1K0,C21190
R23,0805,1,22K,C17560
R25,0603,1,270R,C22966
R26,0603,1,22R0,C23345
"R27, R28, R32, R34, R36, R40",0603,6,4K7,C23162
"R33, R35",0603,2,2K2,C4190
"R37, R38",0402,2,5k1,C25905
"R39, R4",0805,2,200R,C17540
"R58, R59",0603,2,1K5,C22843
R8,0805,1,270R,C17590
R9,0805,1,2R,C17606
"S1, S3",SW_147873-2,2,147873-2,C266189
SW1,LC1258OASP,1,LC1258OASP,C273412
"U1, U4, U5",SOT-23-6,3,ADA4807-1,C2058411
U10,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGTx,C15742
U11,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U12,DPAK172P1054X200-6N,1,BA50DD0WHFP-TR,C509718
U13,SOIC-8_3.9x4.9mm_P1.27mm,1,M24C02-RMN,C83836
U14,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,C84681
U15,SOT-666,1,USBLC6-2P6,C2827693
"U16, U6, U8",SC70_DCK_TEX,3,TLV3603DCKR,C5213955
"U17, U2, U3, U7",SOT-23-5,4,SN74LVC1G14DBV,C133145
U9,SOT-89-3,1,L78L05_SOT89,C71136
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz ,C13738
